building_id,building_type,building_class,corner1_lat,corner1_lon,corner2_lat,corner2_lon,corner3_lat,corner3_lon,corner4_lat,corner4_lon,building_levels,building_material,building_height,building_use
38856995,public,Commercial,41.9004261,-88.7395606,41.9004261,-88.7386447,41.9011167,-88.7386447,41.9011167,-88.7395606,,,,
179220926,school,Schools,41.9534928,-88.7604259,41.9534928,-88.7573216,41.9558134,-88.7573216,41.9558134,-88.7604259,,,,
191164005,commercial,Commercial,41.9455231,-88.7333514,41.9455231,-88.7330204,41.9457672,-88.7330204,41.9457672,-88.7333514,,,,
192384108,hospital,Hospital,41.9605077,-88.7245408,41.9605077,-88.7222029,41.9622703,-88.7222029,41.9622703,-88.7245408,,,,
193167446,university,Schools,41.9322939,-88.7653715,41.9322939,-88.7649794,41.9330245,-88.7649794,41.9330245,-88.7653715,4,,9,
193167447,university,Schools,41.9326493,-88.7648631,41.9326493,-88.7641136,41.9330474,-88.7641136,41.9330474,-88.7648631,4,,9,
193167448,university,Schools,41.9338091,-88.7644409,41.9338091,-88.7635835,41.9340866,-88.7635835,41.9340866,-88.7644409,,,,
193167449,university,Schools,41.9330952,-88.7653293,41.9330952,-88.765037,41.9335793,-88.765037,41.9335793,-88.7653293,,,16.8 m,
193167638,university,Schools,41.9350986,-88.7653754,41.9350986,-88.7646256,41.9354035,-88.7646256,41.9354035,-88.7653754,,,,
193168022,university,Schools,41.9353489,-88.767089,41.9353489,-88.7659855,41.9362678,-88.7659855,41.9362678,-88.767089,,,,
193168311,university,Schools,41.9347064,-88.7628724,41.9347064,-88.762348,41.9349758,-88.762348,41.9349758,-88.7628724,,,,
193168423,university,Schools,41.9314346,-88.7639002,41.9314346,-88.7633174,41.9322381,-88.7633174,41.9322381,-88.7639002,,,,
193168718,university,Schools,41.931361,-88.7653257,41.931361,-88.7646363,41.9318798,-88.7646363,41.9318798,-88.7653257,,,,
193169604,university,Schools,41.9336816,-88.7656153,41.9336816,-88.7649724,41.9348289,-88.7649724,41.9348289,-88.7656153,,,,
193169692,university,Schools,41.9320263,-88.7670594,41.9320263,-88.7658327,41.9326616,-88.7658327,41.9326616,-88.7670594,,,9,
193171599,university,Schools,41.933314,-88.770204,41.933314,-88.7692157,41.9338366,-88.7692157,41.9338366,-88.770204,,,,
193171600,university,Schools,41.9337096,-88.76938,41.9337096,-88.7689157,41.9340586,-88.7689157,41.9340586,-88.76938,,,,
193172933,university,Schools,41.9325956,-88.769687,41.9325956,-88.7680828,41.9337732,-88.7680828,41.9337732,-88.769687,,,,
194234951,yes,Single,41.9334623,-88.7667182,41.9334623,-88.7658645,41.9341889,-88.7658645,41.9341889,-88.7667182,,,,
194235159,dormitory,Multi,41.9347173,-88.7682328,41.9347173,-88.7676077,41.935453,-88.7676077,41.935453,-88.7682328,4,,,
194235161,dormitory,Multi,41.9352952,-88.7696111,41.9352952,-88.768971,41.9360271,-88.768971,41.9360271,-88.7696111,4,,,
194235163,university,Schools,41.9350827,-88.7689716,41.9350827,-88.7682323,41.9356315,-88.7682323,41.9356315,-88.7689716,,,,
194235178,dormitory,Single,41.9358797,-88.768954,41.9358797,-88.7675764,41.9361785,-88.7675764,41.9361785,-88.768954,,,,
194235263,yes,Single,41.9350929,-88.7727846,41.9350929,-88.7718479,41.9362166,-88.7718479,41.9362166,-88.7727846,,,,
194235394,university,Schools,41.9330511,-88.7707617,41.9330511,-88.7700651,41.9340108,-88.7700651,41.9340108,-88.7707617,,,,
194235400,university,Schools,41.9339304,-88.7701743,41.9339304,-88.7691639,41.9344931,-88.7691639,41.9344931,-88.7701743,,,,
194235432,university,Schools,41.9340581,-88.7691129,41.9340581,-88.7684496,41.9345236,-88.7684496,41.9345236,-88.7691129,,,,
194235717,university,Schools,41.9347485,-88.7861367,41.9347485,-88.7840957,41.9360614,-88.7840957,41.9360614,-88.7861367,,,,
194237546,dormitory,High,41.9372909,-88.7778823,41.9372909,-88.7765679,41.938401,-88.7765679,41.938401,-88.7778823,12,,,
196346396,university,Schools,41.9393701,-88.762925,41.9393701,-88.7621338,41.9406582,-88.7621338,41.9406582,-88.762925,,,,
196355302,university,Schools,41.941046,-88.7628848,41.941046,-88.7620065,41.941977,-88.7620065,41.941977,-88.7628848,3,,,
196356116,university,Schools,41.9373665,-88.7629089,41.9373665,-88.7619292,41.9387815,-88.7619292,41.9387815,-88.7629089,,,,
196356228,dormitory,Single,41.9352009,-88.7627419,41.9352009,-88.762387,41.9362231,-88.762387,41.9362231,-88.7627419,,,,
196356411,university,Schools,41.9344151,-88.763007,41.9344151,-88.762304,41.9346398,-88.762304,41.9346398,-88.763007,,,,
196357315,university,Schools,41.9365468,-88.7655609,41.9365468,-88.7647382,41.9372714,-88.7647382,41.9372714,-88.7655609,,,,
209839361,university,Schools,41.9343799,-88.7646953,41.9343799,-88.7633119,41.9348747,-88.7633119,41.9348747,-88.7646953,,,,
209848426,university,Schools,41.9350939,-88.7634749,41.9350939,-88.7628695,41.9353238,-88.7628695,41.9353238,-88.7634749,,,,
209849206,university,Schools,41.9352925,-88.7634428,41.9352925,-88.7629318,41.9361583,-88.7629318,41.9361583,-88.7634428,,,,
209851861,university,Schools,41.9348529,-88.7618655,41.9348529,-88.7612138,41.9353477,-88.7612138,41.9353477,-88.7618655,,,,
209851975,university,Schools,41.9349219,-88.7612245,41.9349219,-88.7603796,41.9360361,-88.7603796,41.9360361,-88.7612245,,,,
209855063,university,Schools,41.9355734,-88.7654704,41.9355734,-88.764993,41.9360343,-88.764993,41.9360343,-88.7654704,,,,
209855064,university,Schools,41.9355357,-88.764526,41.9355357,-88.7642891,41.9356771,-88.7642891,41.9356771,-88.764526,,,,
209855065,university,Schools,41.9360228,-88.7647246,41.9360228,-88.7643647,41.9361925,-88.7643647,41.9361925,-88.7647246,,,,
209855066,university,Schools,41.9356763,-88.7648169,41.9356763,-88.7642744,41.9360237,-88.7642744,41.9360237,-88.7648169,,,,
209855571,university,Schools,41.9355357,-88.7647596,41.9355357,-88.7644828,41.9356766,-88.7644828,41.9356766,-88.7647596,,,,
209856598,university,Schools,41.9316838,-88.7661994,41.9316838,-88.7660121,41.9318089,-88.7660121,41.9318089,-88.7661994,,,,
209858157,university,Schools,41.9313347,-88.7662101,41.9313347,-88.7660331,41.931534,-88.7660331,41.931534,-88.7662101,,,,
209858384,university,Schools,41.9313647,-88.7667296,41.9313647,-88.766356,41.9315167,-88.766356,41.9315167,-88.7667296,,,,
209858452,university,Schools,41.931398,-88.7670436,41.931398,-88.7668286,41.9317655,-88.7668286,41.9317655,-88.7670436,,,,
210989721,retail,Commercial,41.9300892,-88.7726759,41.9300892,-88.7722795,41.9304888,-88.7722795,41.9304888,-88.7726759,,,,
211048802,commercial,Commercial,41.931436,-88.76778,41.931436,-88.7673436,41.9315947,-88.7673436,41.9315947,-88.76778,,,,
211050671,commercial,Commercial,41.9315265,-88.7686546,41.9315265,-88.7683093,41.9317302,-88.7683093,41.9317302,-88.7686546,,,,
216631148,university,Schools,41.9319611,-88.7812834,41.9319611,-88.7804152,41.9328667,-88.7804152,41.9328667,-88.7812834,,,,
